fold_id,sampling,model_name,tn,fp,fn,tp,accuracy,precision,recall,f1_score,roc_auc,rb_recall,feature_set
3,baseline,logistic_regression,126,14,18,53,0.8483412322274881,0.7910447761194029,0.7464788732394366,0.7681159420289855,0.8998993963782697,0.7464788732394366,reduced_hybrid
3,baseline,random_forest_classifier,127,13,16,55,0.8625592417061612,0.8088235294117647,0.7746478873239436,0.7913669064748201,0.9301810865191147,0.7746478873239436,reduced_hybrid
3,baseline,feedforward_neural_network,131,9,18,53,0.8720379146919431,0.8548387096774194,0.7464788732394366,0.7969924812030075,0.9134808853118712,0.7464788732394366,reduced_hybrid
3,smote,logistic_regression,111,29,12,59,0.8056872037914692,0.6704545454545454,0.8309859154929577,0.7421383647798742,0.8999999999999999,0.8309859154929577,reduced_hybrid
3,smote,random_forest_classifier,122,18,16,55,0.8388625592417062,0.7534246575342466,0.7746478873239436,0.7638888888888888,0.9271629778672033,0.7746478873239436,reduced_hybrid
3,smote,feedforward_neural_network,124,16,13,58,0.8625592417061612,0.7837837837837838,0.8169014084507042,0.8,0.9082494969818913,0.8169014084507042,reduced_hybrid
4,baseline,logistic_regression,127,13,24,47,0.8246445497630331,0.7833333333333333,0.6619718309859155,0.7175572519083969,0.8737424547283702,0.6619718309859155,reduced_hybrid
4,baseline,random_forest_classifier,128,12,16,55,0.8672985781990521,0.8208955223880597,0.7746478873239436,0.7971014492753623,0.9087022132796782,0.7746478873239436,reduced_hybrid
4,baseline,feedforward_neural_network,126,14,16,55,0.8578199052132701,0.7971014492753623,0.7746478873239436,0.7857142857142857,0.89738430583501,0.7746478873239436,reduced_hybrid
4,smote,logistic_regression,115,25,15,56,0.8104265402843602,0.691358024691358,0.7887323943661971,0.7368421052631579,0.8732394366197183,0.7887323943661971,reduced_hybrid
4,smote,random_forest_classifier,124,16,11,60,0.8720379146919431,0.7894736842105263,0.8450704225352113,0.8163265306122449,0.9141851106639839,0.8450704225352113,reduced_hybrid
4,smote,feedforward_neural_network,120,20,15,56,0.8341232227488151,0.7368421052631579,0.7887323943661971,0.7619047619047619,0.8994969818913482,0.7887323943661971,reduced_hybrid
5,baseline,logistic_regression,123,17,23,48,0.8104265402843602,0.7384615384615385,0.676056338028169,0.7058823529411765,0.8796780684104628,0.676056338028169,reduced_hybrid
5,baseline,random_forest_classifier,127,13,18,53,0.8530805687203792,0.803030303030303,0.7464788732394366,0.7737226277372263,0.9227867203219317,0.7464788732394366,reduced_hybrid
5,baseline,feedforward_neural_network,132,8,15,56,0.8909952606635071,0.875,0.7887323943661971,0.8296296296296296,0.9349094567404427,0.7887323943661971,reduced_hybrid
5,smote,logistic_regression,113,27,15,56,0.8009478672985783,0.6746987951807228,0.7887323943661971,0.7272727272727273,0.8784708249496982,0.7887323943661971,reduced_hybrid
5,smote,random_forest_classifier,126,14,16,55,0.8578199052132701,0.7971014492753623,0.7746478873239436,0.7857142857142857,0.9236418511066399,0.7746478873239436,reduced_hybrid
5,smote,feedforward_neural_network,134,6,19,52,0.8815165876777251,0.896551724137931,0.7323943661971831,0.8062015503875969,0.9213279678068411,0.7323943661971831,reduced_hybrid
